id;age_group;education_level;city;preferred_language;reading_frequency;reading_time_availability;reader_type;reading_habits;favorite_genres;preferred_book_types;preferred_formats;desired_feelings;disliked_genres
13;25-34;High School;Tangerang;indonesian;weekly;1 hour+;Explorer;I read Indonesian literature to connect with local culture.;{travel,western_classic_lit};{fiction};{ebook,hardcover};{thoughtful};{literacy_criticalism,historical_fiction}
14;18-24;Diploma;Bogor;indonesian;daily;<15 mins;Casual Reader;Fantasy novels are my favorite escape from daily stress.;{crc_fict,climate_change,science,feminism};{fiction,non-fiction};{hardcover};{thrilled,relaxed};{science}
15;18-24;Bachelor;Yogyakarta;indonesian;daily;15-30 mins;Knowledge Seeker;I started reading consistently during the pandemic.;{self_discovery,dystopian_postapocalyptic};{fiction,non-fiction};{hardcover,ebook};{thrilled,entertained,educated};{chinese_literature}
16;25-34;High School;Depok;indonesian;weekly;30-60 mins;Escapist;Graphic novels and comics are my go-to for fun reading.;{self_discovery,philosophy,arts_architecture};{fiction};{paperback};{entertained,thoughtful};{}
17;18-24;High School;Bandung;english;weekly;15-30 mins;Explorer;Self-help books motivate me during tough weeks.;{pets,western_classics,dystopian_postapocalyptic,historical_fiction};{fiction};{paperback,audiobook};{thrilled,educated,relaxed};{education}
18;18-24;High School;Yogyakarta;english;weekly;15-30 mins;Casual Reader;Poetry soothes me in times of emotional turmoil.;{graphic_novels,business,fantasy_scifi};{fiction,non-fiction};{ebook};{thoughtful,entertained};{science}
19;18-24;Diploma;Bandung;indonesian;monthly;<15 mins;Explorer;Reading in the park is one of my favorite pastimes.;{memoirs_biography,literacy_criticalism,philosophy};{non-fiction};{ebook};{thoughtful};{arts_architecture}
20;18-24;Bachelor;Magelang;english;weekly;30-60 mins;Casual Reader;I love discussing books with my reading group.;{magazine_zine,western_classics,literacy_criticalism,crime_mystery};{fiction,non-fiction};{audiobook,ebook};{entertained,relaxed};{}
21;18-24;High School;Depok;indonesian;monthly;1 hour+;Avid Reader;Romance novels keep me up all night.;{japanese_literature,feminism,philosophy};{fiction,non-fiction};{hardcover,ebook};{thoughtful,relaxed};{colonialism,japanese_literature}
22;18-24;High School;Magelang;english;weekly;30-60 mins;Escapist;Historical fiction makes me imagine living in another era.;{business,children_book};{non-fiction};{audiobook};{thoughtful,entertained};{}
23;18-24;High School;Sleman;indonesian;daily;<15 mins;Casual Reader;I read to gain new perspectives and develop empathy.;{russian_literature,politics_sociology};{fiction};{audiobook};{educated};{russian_literature,self_discovery}
24;18-24;Bachelor;Solo;english;rarely;1 hour+;Escapist;I journal my reading progress every month.;{poetry_literacy,history,historical_fiction};{fiction,non-fiction};{audiobook,paperback};{thrilled,relaxed,thoughtful};{literacy_criticalism}
25;18-24;High School;Jakarta;indonesian;weekly;15-30 mins;Explorer;I prefer physical books over digital ones any day.;{magazine_zine,science,politics_sociology};{fiction,non-fiction};{audiobook,ebook};{inspired,entertained,educated};{arts_architecture}
26;18-24;Bachelor;Bandung;indonesian;weekly;30-60 mins;Explorer;Reading biographies makes me appreciate people's struggles and triumphs.;{memoirs_biography,history};{non-fiction};{paperback};{inspired,thoughtful};{}
27;25-34;Bachelor;Jakarta;english;daily;15-30 mins;Knowledge Seeker;News articles and socio-political books are part of my daily habit.;{politics_sociology,psychology_selfhelp};{non-fiction};{ebook,paperback};{educated,thoughtful};{}
28;18-24;Diploma;Bogor;indonesian;monthly;1 hour+;Casual Reader;Sometimes I grab random novels from the library just to unwind.;{fantasy_scifi,romance};{fiction};{hardcover};{relaxed,entertained};{}
29;25-34;Master;Semarang;english;weekly;30-60 mins;Knowledge Seeker;My research requires me to read lots of scientific publications and books.;{science,natural_science};{non-fiction};{ebook};{educated};{romance}
30;18-24;Bachelor;Yogyakarta;english;weekly;15-30 mins;Explorer;On breaks, I dive into classic literature or science fiction.;{western_classics,fantasy_scifi};{fiction};{audiobook,paperback};{thrilled,entertained};{}
31;25-34;High School;Depok;indonesian;rarely;1 hour+;Escapist;Comic books are my favorite stress reliever after exams.;{graphic_novels,magazine_zine};{fiction};{paperback};{relaxed,entertained};{}
32;18-24;Diploma;Bandung;english;daily;<15 mins;Explorer;Short philosophical essays are my go-to read between classes.;{philosophy,self_discovery};{non-fiction};{ebook,audiobook};{thoughtful,inspired};{}
33;25-34;Diploma;Serang;indonesian;weekly;30-60 mins;Casual Reader;I love reading fiction during lunch breaks at work.;{historical_fiction,romance};{fiction};{paperback,hardcover};{relaxed,thrilled};{}
34;18-24;Bachelor;Bogor;indonesian;weekly;15-30 mins;Avid Reader;Poetry helps me process emotions I can't express verbally.;{poetry_literacy,feminism};{fiction};{hardcover};{thoughtful,relaxed};{business}
35;25-34;Bachelor;Depok;english;weekly;1 hour+;Knowledge Seeker;I write and read extensively, focusing on world literature.;{world_literature,western_contemporary};{fiction,non-fiction};{paperback};{entertained,thoughtful};{}
36;18-24;High School;Bandung;indonesian;daily;15-30 mins;Explorer;Fantasy novels bring color to my busy school days.;{fantasy_scifi,western_classics};{fiction};{paperback, ebook};{thrilled.entertained};{}
37;25-34;Bachelor;Magelang;indonesian;weekly;30-60 mins;Knowledge Seeker;I recommend and read a lot of self-help books for patrons.;{psychology_selfhelp,self_help};{non-fiction};{paperback};{inspired,educated};{}
38;18-24;Diploma;Tangerang;indonesian;rarely;1 hour+;Escapist;I enjoy browsing photography and art books on weekends.;{arts_architecture,education};{non-fiction};{paperback};{inspired,thoughtful};{}
39;25-34;Bachelor;Sleman;english;weekly;15-30 mins;Casual Reader;Travel memoirs inspire my dream to see the world.;{travel,memoirs_biography};{non-fiction};{ebook};{inspired,relaxed};{}
40;18-24;High School;Cimahi;indonesian;weekly;30-60 mins;Escapist;I usually read business books to improve my freelancing skills.;{business,education};{non-fiction};{ebook,paperback};{educated,inspired};{romance}
41;18-24;Bachelor;Bandung;english;daily;<15 mins;Explorer;I alternate between poetry collections and science articles before bed.;{poetry_literacy,feminism};{non-fiction};{audiobook,paperback};{thoughtful,inspired};{}
42;25-34;Master;Jakarta;english;weekly;1 hour+;Knowledge Seeker;I study economic histories to aid my thesis research.;{critiques_capitalism,history};{non-fiction};{ebook};{educated,thoughtful};{}
43;18-24;Diploma;Bekasi;indonesian;weekly;15-30 mins;Escapist;Manga and light novels are my quick entertainment.;{children_book,graphic_novels};{fiction};{paperback};{entertained,relaxed};{}
44;25-34;Bachelor;Semarang;indonesian;monthly;30-60 mins;Casual Reader;Romance novels are my guilty pleasure after work.;{romance,western_contemporary};{fiction};{hardcover};{relaxed,thrilled};{}
45;18-24;High School;Bandung;indonesian;daily;<15 mins;Explorer;Self-discovery books help me grow emotionally and spiritually.;{self_discovery,philosophy};{non-fiction};{ebook,paperback};{thoughtful,inspired};{}
46;25-34;Bachelor;Jakarta;indonesian;weekly;30-60 mins;Casual Reader;I usually read ebooks during the train commute.;{psychology_selfhelp,education};{non-fiction};{ebook};{educated,thoughtful};{}
47;18-24;Bachelor;Bandung;english;weekly;30-60 mins;Explorer;Reading Japanese literature has become a hobby of mine.;{japanese_literature,world_literature};{fiction};{paperback};{entertained,thoughtful};{}
48;25-34;Diploma;Depok;indonesian;weekly;15-30 mins;Explorer;Documentary books about climate change intrigue me deeply.;{climate_change,natural_science};{non-fiction};{ebook};{educated,thoughtful};{}
49;18-24;High School;Yogyakarta;indonesian;weekly;30-60 mins;Avid Reader;Historical fiction lets me live multiple lives across eras.;{historical_fiction,western_classic_lit};{fiction};{paperback};{relaxed,thrilled};{}
50;25-34;Bachelor;Depok;indonesian;weekly;15-30 mins;Escapist;Light novels and fantasy series are my guilty pleasures.;{fantasy_scifi,western_classics};{fiction};{audiobook};{entertained,relaxed};{}
51;25-34;Bachelor;Tangerang;indonesian;weekly;30-60 mins;Casual Reader;Short articles and essays fit my busy schedule.;{magazine_zine,literacy_criticalism};{non-fiction};{ebook};{thoughtful,entertained};{}
52;18-24;Bachelor;Bandung;english;weekly;15-30 mins;Explorer;Philosophy books make me question and reflect.;{philosophy,self_discovery};{non-fiction};{audiobook};{thoughtful,inspired};{}
53;25-34;Master;Jakarta;english;weekly;1 hour+;Knowledge Seeker;Economic history books fascinate me endlessly.;{critiques_capitalism,colonialism};{non-fiction};{ebook};{educated,thoughtful};{}
54;18-24;High School;Bandung;indonesian;daily;<15 mins;Explorer;Nature writing reconnects me to the environment.;{natural_science,climate_change};{non-fiction};{paperback};{relaxed,inspired};{}
55;25-34;Bachelor;Jakarta;indonesian;weekly;30-60 mins;Casual Reader;Light novels help me unwind after work.;{western_contemporary,romance};{fiction};{paperback};{entertained,relaxed};{}
56;18-24;Bachelor;Bogor;english;weekly;30-60 mins;Explorer;I collect classic dystopian novels.;{dystopian_postapocalyptic,western_classic_lit};{fiction};{paperback};{thrilled,thoughtful};{}
57;25-34;Diploma;Cimahi;indonesian;weekly;15-30 mins;Explorer;Personal growth books are my companions during coffee breaks.;{self_discovery,psychology_selfhelp};{non-fiction};{ebook};{inspired,thoughtful};{}
58;18-24;Diploma;Yogyakarta;indonesian;weekly;30-60 mins;Avid Reader;Korean literature soothes me after long study sessions.;{korean_literature,world_literature};{fiction};{paperback};{relaxed,thoughtful};{}
59;25-34;Bachelor;Depok;indonesian;monthly;1 hour+;Casual Reader;I love novels that discuss gender and identity.;{feminism,psychology_selfhelp};{non-fiction};{ebook};{educated,thoughtful};{}
60;18-24;High School;Bekasi;indonesian;daily;<15 mins;Explorer;I enjoy philosophical manga and comics.;{philosophy,graphic_novels};{fiction};{paperback};{thoughtful,relaxed};{}
61;25-34;Bachelor;Jakarta;english;weekly;30-60 mins;Casual Reader;Audiobooks help me stay inspired during daily commute.;{self_help,psychology_selfhelp};{non-fiction};{audiobook};{inspired,educated};{}
62;18-24;High School;Sleman;indonesian;weekly;30-60 mins;Avid Reader;Anthropology books make me curious about different cultures.;{history,anthropology};{non-fiction};{paperback};{educated,thoughtful};{}
63;25-34;Bachelor;Magelang;english;weekly;15-30 mins;Explorer;Reading dystopian classics fuels my imagination.;{dystopian_postapocalyptic,western_classic_lit};{fiction};{ebook};{thrilled,thoughtful};{}
64;18-24;Bachelor;Bandung;indonesian;daily;15-30 mins;Avid Reader;Poetry is my safe haven when the world gets too noisy.;{poetry_literacy,self_discovery};{fiction};{paperback};{relaxed,thoughtful};{}
65;25-34;Master;Jakarta;english;weekly;30-60 mins;Knowledge Seeker;Philosophy and science books are essential to my projects.;{philosophy,science};{non-fiction};{ebook,paperback};{educated,thoughtful};{}
66;18-24;Diploma;Yogyakarta;indonesian;weekly;1 hour+;Explorer;Historical novels let me visit eras I can never see.;{historical_fiction,history};{fiction};{paperback};{thoughtful,relaxed};{}
67;25-34;Bachelor;Depok;english;weekly;15-30 mins;Explorer;I weave my own short stories after reading magical realism.;{western_contemporary,world_literature};{fiction};{ebook};{entertained,thoughtful};{}
68;18-24;Bachelor;Bogor;indonesian;monthly;1 hour+;Casual Reader;Reading travel memoirs gives me a glimpse of distant lands.;{travel,memoirs_biography};{non-fiction};{hardcover};{inspired,relaxed};{}
69;25-34;Diploma;Cimahi;indonesian;weekly;30-60 mins;Escapist;Manga and fantasy novels lift my spirits after long days.;{fantasy_scifi,children_book};{fiction};{paperback};{entertained,thrilled};{}
70;18-24;Bachelor;Serang;english;weekly;15-30 mins;Explorer;Social issue books challenge my world view.;{feminism,politics_sociology};{non-fiction};{audiobook};{educated,thoughtful};{}
71;25-34;Bachelor;Semarang;indonesian;rarely;30-60 mins;Casual Reader;Self-help books help me stay motivated.;{self_help,psychology_selfhelp};{non-fiction};{ebook};{inspired,educated};{}
72;18-24;High School;Depok;indonesian;daily;<15 mins;Avid Reader;Fantasy keeps my imagination alive between school activities.;{fantasy_scifi,western_classics};{fiction};{paperback};{thrilled,entertained};{}
73;25-34;Bachelor;Jakarta;indonesian;weekly;1 hour+;Knowledge Seeker;Archiving books daily inspires me to read genres outside my comfort zone.;{memoirs_biography,science};{non-fiction};{paperback};{educated,thoughtful};{}
74;18-24;Diploma;Bekasi;indonesian;weekly;15-30 mins;Explorer;Light novels are my guilty pleasure during exams.;{graphic_novels,dystopian_postapocalyptic};{fiction};{paperback};{entertained,thrilled};{}
75;25-34;Master;Jakarta;english;weekly;30-60 mins;Knowledge Seeker;I read about climate change to design better research proposals.;{climate_change,natural_science};{non-fiction};{ebook};{educated,inspired};{}
76;18-24;Bachelor;Bandung;english;weekly;30-60 mins;Explorer;Business biographies are my blueprint for success.;{business,memoirs_biography};{non-fiction};{ebook};{inspired,educated};{}
77;25-34;High School;Cimahi;indonesian;daily;<15 mins;Casual Reader;Short essays and articles keep my mind sharp.;{education,politics_sociology};{non-fiction};{ebook};{thoughtful,educated};{}
78;18-24;Bachelor;Yogyakarta;indonesian;weekly;15-30 mins;Avid Reader;Romance novels make my heart flutter after tough exams.;{romance,western_contemporary};{fiction};{paperback};{relaxed,entertained};{}
79;25-34;Diploma;Jakarta;indonesian;weekly;30-60 mins;Casual Reader;Audiobooks during commute turn traffic into an adventure.;{self_help,business};{non-fiction};{audiobook};{inspired,educated};{}
80;18-24;High School;Depok;indonesian;daily;15-30 mins;Explorer;Adventure stories and mysteries are my escape routes.;{crime_mystery,fantasy_scifi};{fiction};{paperback};{thrilled,entertained};{}
81;25-34;Bachelor;Tangerang;english;weekly;15-30 mins;Explorer;I enjoy graphic novels about complex emotions.;{graphic_novels,feminism};{fiction};{ebook};{thoughtful,relaxed};{}
82;18-24;Bachelor;Bandung;indonesian;weekly;30-60 mins;Explorer;Philosophical novels deepen my late-night reflections.;{philosophy,literacy_criticalism};{fiction};{paperback};{thoughtful,inspired};{}
83;25-34;Master;Magelang;english;weekly;30-60 mins;Knowledge Seeker;Global history books help me understand today's politics.;{history,politics_sociology};{non-fiction};{ebook};{educated,thoughtful};{}
84;18-24;Diploma;Bogor;english;weekly;30-60 mins;Explorer;Short self-help books are my weekend ritual.;{self_discovery,self_help};{non-fiction};{paperback};{inspired,relaxed};{}
85;25-34;Bachelor;Depok;indonesian;weekly;1 hour+;Avid Reader;Fantasy worlds make the ordinary feel magical.;{fantasy_scifi,world_literature};{fiction};{hardcover};{thrilled,entertained};{}
86;18-24;High School;Sleman;indonesian;daily;<15 mins;Casual Reader;Poetry about life and death is strangely comforting.;{poetry_literacy,philosophy};{fiction};{paperback};{relaxed,thoughtful};{}
87;25-34;Bachelor;Cimahi;english;weekly;30-60 mins;Explorer;Fictional dystopias sometimes feel too real.;{dystopian_postapocalyptic,western_classic_lit};{fiction};{ebook};{thoughtful,thrilled};{}
88;18-24;Bachelor;Bandung;english;daily;15-30 mins;Avid Reader;Fantasy adventures help me disconnect after classes.;{fantasy_scifi,western_contemporary};{fiction};{paperback};{thrilled,entertained};{}
89;25-34;Master;Jakarta;english;weekly;30-60 mins;Knowledge Seeker;I enjoy heavy science books before writing articles.;{science,natural_science};{non-fiction};{ebook,paperback};{educated,thoughtful};{}
90;18-24;Diploma;Yogyakarta;indonesian;weekly;1 hour+;Explorer;Romance novels brighten up my weekends.;{romance,western_contemporary};{fiction};{paperback};{relaxed,entertained};{}
91;25-34;Bachelor;Depok;english;weekly;30-60 mins;Explorer;Short philosophical essays are my guilty pleasure.;{philosophy,literacy_criticalism};{fiction, non-fiction};{ebook,paperback};{thoughtful,inspired};{}
92;18-24;Bachelor;Bogor;indonesian;monthly;1 hour+;Casual Reader;Graphic novels are my stress relievers.;{graphic_novels,poetry_literacy};{fiction};{paperback};{relaxed,entertained};{}
93;25-34;Diploma;Cimahi;indonesian;weekly;30-60 mins;Escapist;Self-discovery books help me reflect during weekends.;{self_discovery,self_help};{non-fiction};{ebook};{inspired,thoughtful};{}
94;18-24;Bachelor;Serang;english;weekly;15-30 mins;Explorer;Reading about other cultures makes me more empathetic.;{world_literature,travel};{fiction, non-fiction};{paperback};{educated,thoughtful};{}
95;25-34;Bachelor;Semarang;indonesian;rarely;30-60 mins;Casual Reader;Business books are my motivation booster during lunch.;{business,self_help};{non-fiction};{ebook,audiobook};{inspired,educated};{}
96;18-24;High School;Depok;indonesian;daily;<15 mins;Avid Reader;Mystery novels sharpen my imagination.;{crime_mystery,fantasy_scifi};{fiction};{paperback};{thrilled,entertained};{}
97;25-34;Bachelor;Jakarta;indonesian;weekly;1 hour+;Knowledge Seeker;Preserving old books makes me love history even more.;{history,anthropology};{non-fiction};{hardcover};{educated,thoughtful};{}
98;18-24;Diploma;Bogor;english;weekly;15-30 mins;Explorer;Adventure stories fuel my dreams of traveling the world.;{travel,fantasy_scifi};{fiction};{paperback};{thrilled,relaxed};{}
99;25-34;Bachelor;Tangerang;indonesian;weekly;30-60 mins;Explorer;Memoirs about resilience inspire me.;{memoirs_biography,education};{non-fiction};{ebook,paperback};{inspired,thoughtful};{}
100;18-24;Bachelor;Bandung;english;weekly;15-30 mins;Explorer;I enjoy books that explore human psychology.;{psychology_selfhelp,self_discovery};{non-fiction};{audiobook};{thoughtful,educated};{}
101;25-34;Master;Jakarta;english;weekly;1 hour+;Knowledge Seeker;Global economic histories fascinate me.;{critiques_capitalism,colonialism};{non-fiction};{ebook};{educated,thoughtful};{}
102;18-24;High School;Depok;indonesian;daily;<15 mins;Explorer;Poetry and light novels ease my anxiety.;{poetry_literacy,children_book};{fiction};{paperback};{relaxed,thoughtful};{}
103;25-34;Bachelor;Jakarta;indonesian;weekly;30-60 mins;Casual Reader;Audiobooks about leadership help my career growth.;{businessself_help};{non-fiction};{audiobook};{inspired,educated};{}
104;18-24;Bachelor;Yogyakarta;indonesian;weekly;30-60 mins;Avid Reader;Japanese literature fascinates me deeply.;{japanese_literature,world_literature};{fiction};{paperback};{thoughtful,relaxed};{}
105;25-34;Master;Magelang;english;weekly;30-60 mins;Knowledge Seeker;Climate change reports guide my activism.;{climate_change,natural_science};{non-fiction};{ebook};{educated,inspired};{}
106;18-24;Diploma;Bogor;english;weekly;30-60 mins;Explorer;Personal development books changed my mindset.;{self_discovery,self_help};{non-fiction};{ebook,paperback};{inspired,thoughtful};{}
107;25-34;Bachelor;Depok;indonesian;monthly;1 hour+;Casual Reader;Travel memoirs make my world bigger.;{travel,memoirs_biography};{non-fiction};{paperback};{inspired,relaxed};{}
108;18-24;High School;Sleman;indonesian;daily;<15 mins;Casual Reader;Romantic novels make me believe in magic.;{romance,western_contemporary};{fiction};{paperback};{relaxed,entertained};{}
109;25-34;Bachelor;Cimahi;english;weekly;30-60 mins;Explorer;I enjoy dystopian novels about alternate realities.;{dystopian_postapocalyptic,western_classic_lit};{fiction};{ebook};{thrilled,thoughtful};{}
110;18-24;Bachelor;Bandung;english;weekly;30-60 mins;Explorer;Philosophical novels offer me new ways to think.;{philosophy,self_discovery};{fiction, non-fiction};{paperback};{thoughtful,inspired};{}
111;25-34;Master;Magelang;english;weekly;30-60 mins;Knowledge Seeker;Anthropology and history broaden my perspectives.;{anthropology,history};{non-fiction};{ebook};{educated,thoughtful};{}
112;25-34;Diploma;Bandung;english;daily;1 hour+;Avid Reader;Whenever I travel, I bring a few books to read on the road.;{family,critiques_capitalism};{non-fiction};{paperback,hardcover};{entertained,relaxed};{literacy_criticalism}
113;35-44;High School;Bogor;english;rarely;1 hour+;Avid Reader;I follow reading challenges and try to finish 2 books monthly.;{climate_change,science,western_contemporary};{fiction,non-fiction};{hardcover,audiobook};{educated};{children_book,pets}
114;18-24;Doctorate;Solo;indonesian;rarely;15-30 mins;Explorer;I usually read at night after work to unwind.;{world_literature,western_classic_lit,other_people};{fiction};{audiobook,hardcover,paperback};{entertained};{self_discovery,history}
115;25-34;Diploma;Yogyakarta;indonesian;daily;1 hour+;Knowledge Seeker;I carry an ebook reader on the go and read during breaks.;{climate_change,critiques_capitalism,western_classics,poetry_literacy};{fiction,non-fiction};{audiobook,hardcover};{entertained};{}
116;25-34;Diploma;Tangerang;indonesian;daily;15-30 mins;Avid Reader;I usually read at night after work to unwind.;{world_literature,self_discovery,critiques_capitalism,pets};{fiction,non-fiction};{paperback};{thrilled,educated,inspired};{crime_mystery}
117;25-34;Diploma;Yogyakarta;indonesian;daily;15-30 mins;Escapist;Whenever I travel, I bring a few books to read on the road.;{feminism', 'western_contemporary', 'science};{fiction,non-fiction};{audiobook,hardcover,paperback};{thrilled,relaxed,educated};{history}
118;35-44;High School;Yogyakarta;other;daily;30-60 mins;Casual Reader;I usually read at night after work to unwind.;{western_classic_lit,chinese_literature,history};{fiction,non-fiction};{paperback};{relaxed,inspired,thrilled};{}
119;18-24;Diploma;Magelang;indonesian;monthly;<15 mins;Knowledge Seeker;During weekends, I spend a few hours reading philosophy or history.;{science,self_discovery,feminism};{fiction,non-fiction};{hardcover};{thrilled,relaxed};{}
120;25-34;Master;Bogor;english;weekly;1 hour+;Escapist;Audiobooks help me enjoy stories while doing chores or commuting.;{historical_fiction,poetry_literacy,on_womanhood,children_book};{fiction,non-fiction};{hardcover,audiobook};{thrilled,inspired,relaxed};{travel,critiques_capitalism}
121;25-34;Master;Surabaya;english;weekly;30-60 mins;Knowledge Seeker;Reading fiction at night helps me relax before sleeping.;{natural_science,travel};{non-fiction};{hardcover,ebook};{educated,entertained};{}
122;45-54;Diploma;Jakarta;english;monthly;30-60 mins;Escapist;Books give me clarity and inspiration for my projects.;{western_contemporary,literacy_criticalism,memoirs_biography};{fiction,non-fiction};{ebook};{educated};{}
123;45-54;Master;Jakarta;indonesian;monthly;<15 mins;Escapist;During weekends, I spend a few hours reading philosophy or history.;{graphic_novels,indonesian_literature,world_literature};{fiction};{hardcover,ebook,paperback};{inspired,entertained,thrilled};{}
124;25-34;Doctorate;Serang;indonesian;weekly;1 hour+;Knowledge Seeker;Whenever I travel, I bring a few books to read on the road.;{climate_change,magazine_zine};{fiction,non-fiction};{ebook,audiobook};{relaxed};{russian_literature}
125;25-34;Diploma;Jakarta;indonesian;monthly;<15 mins;Casual Reader;Whenever I travel, I bring a few books to read on the road.;{romance,crc_fict,colonialism};{fiction};{paperback,hardcover,audiobook};{thoughtful,relaxed};{}
126;25-34;High School;Malang;indonesian;monthly;15-30 mins;Casual Reader;I usually read at night after work to unwind.;{memoirs_biography,self_help};{fiction};{paperback,hardcover};{thrilled,relaxed};{education}
127;25-34;Bachelor;Cimahi;indonesian;rarely;<15 mins;Escapist;Reading fiction at night helps me relax before sleeping.;{western_classic_lit,education,feminism};{non-fiction};{hardcover,audiobook,paperback};{inspired,educated,thrilled};{}
128;35-44;Bachelor;Yogyakarta;indonesian;rarely;<15 mins;Escapist;Audiobooks help me enjoy stories while doing chores or commuting.;{self_help,business,historical_fiction,religions};{non-fiction};{audiobook,hardcover,ebook};{inspired,relaxed};{self_discovery}
129;18-24;Bachelor;Serang;english;daily;1 hour+;Avid Reader;Reading fiction at night helps me relax before sleeping.;{dystopian_postapocalyptic,family};{non-fiction};{paperback};{thoughtful};{indonesian_literature,crc_fict}
130;35-44;Bachelor;Jakarta;indonesian;daily;15-30 mins;Escapist;I carry an ebook reader on the go and read during breaks.;{other_people,religions};{fiction};{ebook,paperback};{entertained,thoughtful,relaxed};{}
131;25-34;Bachelor;Sleman;indonesian;monthly;<15 mins;Casual Reader;I usually read at night after work to unwind.;{magazine_zine,korean_literature};{fiction,non-fiction};{audiobook,ebook,hardcover};{entertained,relaxed,thoughtful};{romance,graphic_novels}
132;18-24;Diploma;Bogor;indonesian;monthly;<15 mins;Escapist;Reading a novel in the evening helps me unwind before bed.;{russian_literature,literacy_criticalism};{fiction,non-fiction};{hardcover,paperback,ebook};{educated,relaxed,entertained};{crime_mystery}
133;18-24;Master;Jakarta;indonesian;monthly;<15 mins;Casual Reader;Enjoying a fictional story at night helps me calm down before sleep.;{psychology_selfhelp,science,world_literature,colonialism};{fiction,non-fiction};{ebook};{educated,thoughtful};{}
134;25-34;Master;Surabaya;indonesian;weekly;1 hour+;Escapist;Flipping through a book of fiction before bedtime helps me relax.;{pets,magazine_zine,on_womanhood};{fiction,non-fiction};{audiobook};{educated,thrilled};{}
135;25-34;Master;Malang;indonesian;daily;15-30 mins;Casual Reader;I usually read at night after work to unwind.;{science,western_classic_lit};{fiction,non-fiction};{ebook};{educated};{}
136;25-34;Bachelor;Sleman;other;daily;30-60 mins;Explorer;Books give me clarity and inspiration for my projects.;{religions,russian_literature,children_book};{non-fiction};{ebook,hardcover,paperback};{thoughtful,relaxed,entertained};{poetry_literacy,memoirs_biography}
137;18-24;Bachelor;Bandung;english;weekly;30-60 mins;Avid Reader;Reading helps me escape into fantastical worlds on quiet nights.;{fantasy_scifi,graphic_novels};{fiction};{paperback,ebook};{entertained,thrilled};{}
138;25-34;Master;Serang;indonesian;monthly;15-30 mins;Casual Reader;I like reading biographies that inspire me to think differently.;{memoirs_biography,business};{non-fiction};{hardcover};{inspired,educated};{romance}
139;18-24;Diploma;Yogyakarta;english;daily;<15 mins;Escapist;Poetry and short essays are my go-to during my breaks.;{poetry_literacy,magazine_zine};{non-fiction};{ebook,paperback};{relaxed,thoughtful};{self_help}
140;35-44;Bachelor;Magelang;english;weekly;1 hour+;Knowledge Seeker;I dedicate Sunday mornings to reading philosophy and history.;{philosophy,history};{non-fiction};{hardcover,ebook};{thoughtful,inspired};{dystopian_postapocalyptic}
